"Maury Sterling","Sterling Holloway"
"Clifton James","James Franciscus"
"Brion James","James Franciscus"
"Colton James","James Franciscus"
"Lennie James","James Franciscus"
"In-mun Kim","Kim Hunter"
"Roe-ha Kim","Kim Hunter"
"Jong-ho Kim","Kim Hunter"
"Jesse James","James Franciscus"
"Kevin James","James Franciscus"
"Andrea James","James Franciscus"
"Yeong-cheol Kim","Kim Hunter"
"David James","James Franciscus"
"Lily James","James Franciscus"
"Theo James","James Franciscus"
"Stephan James","James Franciscus"
"Geraldine James","James Franciscus"
"LeBron James","James Franciscus"
"Su-an Kim","Kim Hunter"
"Mu-Yeol Kim","Kim Hunter"
"Alan Kim","Kim Hunter"
"James Karen","Karen Black"
"Madeline Carroll","Carroll O'Connor"
"Strother Martin","Martin Balsam"
"Steve Martin","Martin Balsam"
"Kellie Martin","Martin Balsam"
"Stacy Martin","Martin Balsam"
"Stuart Martin","Martin Balsam"
"Meg Ryan","Ryan O'Neal"
"Mitchell Ryan","Ryan O'Neal"
"Remy Ryan","Ryan O'Neal"
"Blanchard Ryan","Ryan O'Neal"
"Mahershala Ali","Ali MacGraw"
"Michelle Ryan","Ryan O'Neal"
"Amy Ryan","Ryan O'Neal"
"Sophia Ali","Ali MacGraw"
"Jason Ryan","Ryan O'Neal"
"Arsher Ali","Ali MacGraw"
"Jake Ryan","Ryan O'Neal"
"Danielle Ryan","Ryan O'Neal"
"Denholm Elliott","Elliott Gould"
"Sam Elliott","Elliott Gould"
"Nicholle Tom","Tom Skerritt"
"Chris Elliott","Elliott Gould"
"Missy Elliott","Elliott Gould"
Tom,"Tom Skerritt"
"Amie Donald","Donald Sutherland"
"Susan George","George C. Scott"
"Nicole George","George C. Scott"
"Melissa George","George C. Scott"
"Ananda George","George C. Scott"
"Amie Donald","Donald Pleasence"
"Allen Joseph","Joseph Cotten"
"Clifton James","James Olson"
"Eleanor David","David Wayne"
"Keith David","David Wayne"
"Brion James","James Olson"
"Colton James","James Olson"
"Lennie James","James Olson"
"Jesse James","James Olson"
"Kevin James","James Olson"
"Andrea James","James Olson"
"David James","James Olson"
"Larry David","David Wayne"
"Lily James","James Olson"
"Theo James","James Olson"
"Stephan James","James Olson"
"Geraldine James","James Olson"
"LeBron James","James Olson"
"Madeleine Arthur","Arthur Hill"
"Jordan Carlos","Carlos Montalbán"
"Eleanor David","David Tomlinson"
"Keith David","David Tomlinson"
"Larry David","David Tomlinson"
"Jennifer Warren","Warren Clarke"
"Robert Patrick","Patrick Magee"
"Marc Warren","Warren Clarke"
"Marsha Warren","Warren Clarke"
"Josh Charles","Charles Gray"
"Max Charles","Charles Gray"
"Debbie Harry","Harry Guardino"
"Jesse Bradford","Bradford Dillman"
"Joshua Leonard","Leonard Frey"
"Cyril Roy","Roy Scheider"
"Ronit Roy","Roy Scheider"
"Clifton James","James Coburn"
"Brion James","James Coburn"
"Colton James","James Coburn"
"Lennie James","James Coburn"
"Jesse James","James Coburn"
"Kevin James","James Coburn"
"Andrea James","James Coburn"
"David James","James Coburn"
"Lily James","James Coburn"
"Theo James","James Coburn"
"Stephan James","James Coburn"
"Geraldine James","James Coburn"
"LeBron James","James Coburn"
"Cyril Roy","Roy Kinnear"
"Ronit Roy","Roy Kinnear"
"Moritz Klaus","Klaus Kinski"
"Billy Joel","Joel Grey"
"Alexandra Paul","Paul Frankeur"
"Aaron Paul","Paul Frankeur"
"Amala Paul","Paul Frankeur"
"Clifton James","James Caan"
"Brion James","James Caan"
"Colton James","James Caan"
"Lennie James","James Caan"
"Jesse James","James Caan"
"Kevin James","James Caan"
"Andrea James","James Caan"
"David James","James Caan"
"Lily James","James Caan"
"Alex Al","Al Pacino"
"Theo James","James Caan"
"Stephan James","James Caan"
"Geraldine James","James Caan"
"LeBron James","James Caan"
"Radha Mitchell","Mitchell Ryan"
"Elizabeth Mitchell","Mitchell Ryan"
"Tessa Mitchell","Mitchell Ryan"
"Beverley Mitchell","Mitchell Ryan"
"Billy Mitchell","Mitchell Ryan"
"Jason Mitchell","Mitchell Ryan"
"Eleanor David","David Hess"
"Keith David","David Hess"
"Larry David","David Hess"
"Rachel Shelley","Shelley Winters"
"Ashley Laurence","Laurence Olivier"
"Jeté Laurence","Laurence Olivier"
"Oona Laurence","Laurence Olivier"
"Alexandra Paul","Paul Le Mat"
"Josh Charles","Charles Martin Smith"
"Aaron Paul","Paul Le Mat"
"Max Charles","Charles Martin Smith"
"Amala Paul","Paul Le Mat"
"Strother Martin","Martin Sheen"
"Jennifer Warren","Warren Oates"
"Steve Martin","Martin Sheen"
"Kellie Martin","Martin Sheen"
"Marc Warren","Warren Oates"
"Marsha Warren","Warren Oates"
"Stacy Martin","Martin Sheen"
"Stuart Martin","Martin Sheen"
"Bruce Lee","Lee J. Cobb"
"Christopher Lee","Lee J. Cobb"
"Mark Lee","Lee J. Cobb"
"Danny Lee","Lee J. Cobb"
"Spike Lee","Lee J. Cobb"
"Sheryl Lee","Lee J. Cobb"
"Brandon Lee","Lee J. Cobb"
"Sophie Lee","Lee J. Cobb"
"Jason Lee","Lee J. Cobb"
"Wendee Lee","Lee J. Cobb"
"Leo Lee","Lee J. Cobb"
"Sook-Yin Lee","Lee J. Cobb"
"Eun-ju Lee","Lee J. Cobb"
"Ryan Lee","Lee J. Cobb"
"Gwilym Lee","Lee J. Cobb"
"Samara Lee","Lee J. Cobb"
"Kyung-jin Lee","Lee J. Cobb"
"Na-ra Lee","Lee J. Cobb"
"Joseph Lee","Lee J. Cobb"
"Hyun-Wook Lee","Lee J. Cobb"
"Greta Lee","Lee J. Cobb"
"Thomas Jane","Jane Seymour"
"Maury Sterling","Sterling Hayden"
"Eleanor David","David Soul"
"Keith David","David Soul"
"Larry David","David Soul"
"Eleanor David","David Proval"
"Keith David","David Proval"
"Don Harvey","Harvey Keitel"
"Larry David","David Proval"
"Channing Tatum","Tatum O'Neal"
"Janet Leigh","Leigh Taylor-Young"
"Chyler Leigh","Leigh Taylor-Young"
"Alexandra Paul","Paul Newman"
"Josh Charles","Charles Durning"
"Aaron Paul","Paul Newman"
"Max Charles","Charles Durning"
"Amala Paul","Paul Newman"
"Clifton James","James Brolin"
"Zack Norman","Norman Bartold"
"Brion James","James Brolin"
"Colton James","James Brolin"
"Lennie James","James Brolin"
"Jesse James","James Brolin"
"Kevin James","James Brolin"
"Andrea James","James Brolin"
"David James","James Brolin"
"Lily James","James Brolin"
"Theo James","James Brolin"
"Stephan James","James Brolin"
"Geraldine James","James Brolin"
"LeBron James","James Brolin"
"Woody Norman","Norman Bartold"
"Jarrett Bruno","Bruno Zanin"
"Don Harvey","Harvey Korman"
"Matthew Perry","Perry Lopez"
"Katy Perry","Perry Lopez"
"Tyler Perry","Perry Lopez"
"Jane Perry","Perry Lopez"
"Sophie Perry","Perry Lopez"
"Woody Allen","Allen Garfield"
"Penelope Allen","Allen Garfield"
"Karen Allen","Allen Garfield"
"Nancy Allen","Allen Garfield"
"Joan Allen","Allen Garfield"
"Tim Allen","Allen Garfield"
"Ray Allen","Allen Garfield"
"Tessa Allen","Allen Garfield"
"Krista Allen","Allen Garfield"
"Alfie Allen","Allen Garfield"
"Morgan Allen","Allen Garfield"
"Chas Allen","Allen Garfield"
"Ryder Allen","Allen Garfield"
"Kiera Allen","Allen Garfield"
"Frank Vincent","Vincent Gardenia"
"Alex Vincent","Vincent Gardenia"
"Josh Charles","Charles Bronson"
"Cerina Vincent","Vincent Gardenia"
"Max Charles","Charles Bronson"
